'/underground-drugs',0.041694,'Drugs','Cannabis','Weed','50 g White Widow Organic Weed indoor'
'/letswork',0.008016,'Drugs','Stimulants','Cocaine','★TOP SHELF 1G Cocaine★ Clean, Pure, FREE UK FIRST CLASS'
'/koffeeshop',0.012459,'Drugs','Cannabis','Hash','25g Marok Light Haschisch'
'/rxhind',0.11899,'','Drugs','Pharmacy','Meridia 10mg x 1000 capsule - Offer 20% extra'
'/ryloken',0.007459,'Drugs','Stimulants','Metamphetamine','1G Crystal Meth'
'/eztkapdel',0.011352,'Drugs','Pharmacy','Benzos','100 x Roche Valium - 10mg Diazepam'
'/pharma-deal',0.018789,'Drugs','Stimulants','','115 Pills Ritalin 10 MG (5% Extra pills on FE)'
'/goingpostai',0.003965,'Drugs','Stimulants','Metamphetamine','1.0 GRAMS CRYSTAL METH ICE SHARDS - REAGENT TESTED'
'/appleinc',0.004906,'','Drugs','Pharmacy','25 x 10mg Roche Diazepam (Loose)'
'/monetka',0.081924,'Drugs','Stimulants','Cocaine','14g Pure Cocaine '
'/thewizzard',0.003059,'Drugs','Psychedelics','LSD','5 LSD Blotters 180μg - Anonymous '
'/amsterdam-dream',0.016158,'Drugs','Psychedelics','Mushrooms','1 oz (28g) Potent Mexican Magic Mushrooms &amp; Free shipping'
'/kingofthetrill',0.097558,'Other products','Self-defence','Guns and ammo','Used - .380 Special - Revolver - Snub Nose'
'/cbdqueenuk',0.0,'Drugs','Psychedelics','LSD','25 x 180ug anonymous blotters '
'/tollanpey',0.015151,'Drugs','Pharmacy','Benzos','Rivotril Klonazepam Roche 250pills*2mg'
'/nextgeneration',0.007515,'Drugs','Cannabis','Weed','Lemon Diesel  7g FREE UK NDD'
'/mistagreenabis',0.037706,'Drugs','Cannabis','Weed','2 oz Purple Dream greenhouse weed (56 g)'
'/chemical_usa',0.096315,'Drugs','Opiates','Fentanyl','10g China White Synthetic Heroin Acetyl Mix'
